Age,Education,Marital_Status,Parental_Status,Children,Income,Total_Spending,Days_as_Customer,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,Web,Catalog,Store,Discount_Purchases,Total_Promo,NumWebVisitsMonth,cluster
69,2,0,0,0,58138,1617,4896,58,635,81,546,120.5,81,88,8,10,4,3,0,7,2
72,2,0,1,2,46344,27,4346,38,11,1,6,2,1,6,1,1,2,2,0,5,1
61,2,1,0,0,71613,776,4545,26,426,49,127,111,21,42,8,2,10,1,0,4,2
42,2,1,1,1,26646,53,4372,26,11,4,20,10,3,5,2,0,4,2,0,6,1
45,4,1,1,1,58293,422,4394,94,173,43,118,46,27,15,5,3,6,5,0,5,0
59,3,1,1,1,62513,716,4526,16,520,42,98,0,42,14,6,4,10,2,0,6,0
55,2,0,1,1,55635,590,4826,34,235,65,164,50,49,27,7,3,7,4,0,6,0
41,4,1,1,1,33454,169,4650,32,76,10,56,3,1,23,4,0,4,2,0,8,1
52,4,1,1,1,30351,46,4621,19,14,0,24,3,3,2,3,0,2,1,0,9,1
76,4,1,1,2,5648,49,4341,68,28,0,6,1,1,13,1,0,0,1,1,20,1
43,2,1,1,1,51381.5,19,4459,11,5,5,6,0,2,1,1,0,2,1,0,7,1
50,0,1,0,0,7500,61,4826,59,6,16,11,11,1,16,2,0,3,1,0,8,1
67,2,0,0,0,63033,1102,4459,82,194,61,480,120.5,81,30,3,4,8,1,0,2,2
74,3,0,1,2,59354,310,4459,53,233,2,53,3,5,14,6,1,5,3,0,6,0
39,2,1,0,0,17323,46,4860,38,3,14,17,6,1,5,1,0,3,1,0,8,1
80,4,0,0,0,82800,1315,4815,23,1006,22,115,59,68,45,7,6,12,1,2,3,2
46,2,1,1,2,41850,96,4785,51,53,5,19,2,13,4,3,0,3,3,0,8,1
80,2,1,0,0,37760,317,4900,20,84,5,38,120.5,12,28,4,1,6,2,0,7,0
77,3,1,1,1,76995,1782,4691,91,1012,80,498,0,16,126.5,11,4,9,2,1,5,0
41,1,0,1,1,33812,133,4836,86,4,17,19,30,24,39,2,1,3,2,0,6,1
44,2,1,0,0,37040,316,4923,41,86,2,73,69,38,48,4,2,5,1,0,8,0
47,2,1,1,1,2447,1730,4772,42,1,1,556,1,1,1,0,28,0,15,0,1,0
77,4,1,1,1,58607,972,4786,63,867,0,86,0,0,19,2,3,9,3,1,8,0
72,4,1,1,1,65324,544,4402,0,384,0,102,21,32,5,6,2,9,3,0,4,0
75,2,1,1,1,40689,444,4701,69,270,3,27,39,6,99,7,1,5,7,0,8,0
57,2,0,0,0,18589,75,4776,89,6,4,25,15,12,13,2,1,3,2,0,7,1
50,2,1,1,2,53359,257,4631,4,173,4,30,3,6,41,5,1,4,4,0,7,0
40,2,0,1,1,51381.5,637,4727,19,5,1,3,3,81,126.5,27,0,0,0,0,1,0
37,2,1,1,1,38360,131,4627,26,36,2,42,20,21,10,2,1,4,2,0,3,1
61,4,1,0,0,84618,1672,4452,96,684,81,556,21,66,0,6,9,10,1,1,2,2
37,3,0,0,0,10979,30,4271,34,8,4,10,2,2,4,3,0,3,2,0,5,1
63,3,1,0,0,38620,318,4647,56,112,17,44,34,22,89,2,5,3,1,0,3,2
56,2,1,1,1,40548,120,4860,31,110,0,5,2,0,3,2,1,4,2,1,5,1
74,4,0,1,2,46610,302,4841,8,96,12,96,33,22,43,4,1,6,6,0,6,0
80,3,1,0,0,68657,1196,4727,4,482,34,471,119,68,22,3,5,9,1,0,7,2
75,3,0,1,2,49389,65,4537,55,40,0,19,2,1,3,2,0,3,1,0,7,1
56,4,1,1,1,67353,913,4413,37,702,17,151,0,8,35,5,6,12,5,0,2,0
50,1,1,1,1,23718,81,4533,76,6,3,14,15,7,36,3,1,2,3,0,7,1
53,2,0,1,1,42429,67,4371,99,55,0,6,2,0,4,1,1,3,2,0,5,1
83,4,0,0,0,48948,902,4746,53,437,8,206,120.5,49,42,7,10,5,2,1,6,2
46,2,1,1,1,80011,1395,4659,3,421,76,536,82,81,102,8,6,5,2,0,4,2
41,3,1,1,1,20559,53,4707,88,13,1,29,3,0,7,2,0,3,2,0,8,1
69,2,1,1,1,21994,22,4785,4,9,0,6,3,1,3,0,0,3,1,0,5,1
67,4,0,0,0,51381.5,186,4469,80,81,11,50,3,2,39,1,3,4,1,0,2,1
